Date,Symbol,Close,Open,High,Low,Volume,Change %,Name,Tomorrow,Target
2022-08-18,2222,39.5,39.75,39.9,39.5,3210000,-0.75,Saudi Aramco,39.8,1
2022-08-17,2222,39.8,39.8,39.85,39.45,4019999,0.0,Saudi Aramco,39.8,0
2022-08-16,2222,39.8,40.35,40.35,39.8,5330000,-1.61,Saudi Aramco,40.45,1
2022-08-15,2222,40.45,40.4,40.45,39.85,5040000,0.0,Saudi Aramco,40.45,0
2022-08-14,2222,40.45,40.8,41.1,40.3,7950000,-0.86,Saudi Aramco,40.8,1
2022-08-11,2222,40.8,39.9,40.8,39.9,9290000,2.38,Saudi Aramco,39.85,0
2022-08-10,2222,39.85,39.8,40.05,39.55,5350000,0.13,Saudi Aramco,39.8,0
2022-08-09,2222,39.8,39.3,39.85,39.1,8170000,1.27,Saudi Aramco,39.3,0
2022-08-08,2222,39.3,39.3,39.55,39.15,2970000,0.13,Saudi Aramco,39.25,0
2022-08-07,2222,39.25,39.6,39.6,39.2,1910000,-1.13,Saudi Aramco,39.7,1
2022-08-04,2222,39.7,39.7,39.85,39.6,2930000,-0.38,Saudi Aramco,39.85,1
2022-08-03,2222,39.85,39.75,39.85,39.5,2930000,0.0,Saudi Aramco,39.85,0
2022-08-02,2222,39.85,40.0,40.05,39.2,6370000,-0.5,Saudi Aramco,40.05,1
2022-08-01,2222,40.05,39.75,40.1,39.7,9010000,0.75,Saudi Aramco,39.75,0
2022-07-31,2222,39.75,39.7,40.05,39.7,5620000,0.13,Saudi Aramco,39.7,0
2022-07-28,2222,39.7,39.95,40.05,39.7,11120000,-0.13,Saudi Aramco,39.75,1
2022-07-27,2222,39.75,39.0,39.85,38.75,7680000,2.45,Saudi Aramco,38.8,0
2022-07-26,2222,38.8,38.7,38.85,38.45,2770000,0.52,Saudi Aramco,38.6,0
2022-07-25,2222,38.6,38.5,38.9,38.45,3630000,-0.26,Saudi Aramco,38.7,1
2022-07-24,2222,38.7,38.5,38.8,38.25,1880000,0.13,Saudi Aramco,38.65,0
2022-07-21,2222,38.65,38.95,38.95,38.6,3020000,-0.64,Saudi Aramco,38.9,1
2022-07-20,2222,38.9,38.7,39.0,38.55,3420000,0.39,Saudi Aramco,38.75,0
2022-07-19,2222,38.75,38.5,39.0,38.1,4430000,0.65,Saudi Aramco,38.5,0
2022-07-18,2222,38.5,37.0,38.5,37.0,5900000,4.19,Saudi Aramco,36.95,0
2022-07-17,2222,36.95,36.6,37.15,36.4,3100000,1.93,Saudi Aramco,36.25,0
2022-07-14,2222,36.25,36.7,36.9,36.1,4500000,-1.09,Saudi Aramco,36.65,1
2022-07-13,2222,36.65,37.5,37.6,36.65,9110000,-3.43,Saudi Aramco,37.95,1
2022-07-06,2222,37.95,37.95,38.05,37.7,5570000,-0.91,Saudi Aramco,38.3,1
2022-07-05,2222,38.3,38.15,38.4,38.0,2400000,0.39,Saudi Aramco,38.15,0
2022-07-04,2222,38.15,38.5,38.5,37.9,3600000,-1.29,Saudi Aramco,38.65,1
2022-07-03,2222,38.65,38.85,38.95,38.35,1600000,-0.39,Saudi Aramco,38.8,1
2022-06-30,2222,38.8,39.2,39.2,38.75,7680000,-1.02,Saudi Aramco,39.2,1
2022-06-29,2222,39.2,38.8,39.6,38.5,5680000,0.9,Saudi Aramco,38.85,0
2022-06-28,2222,38.85,37.65,38.85,37.65,5590000,3.32,Saudi Aramco,37.6,0
2022-06-27,2222,37.6,37.8,37.8,37.5,3060000,-0.13,Saudi Aramco,37.65,1
2022-06-26,2222,37.65,37.55,37.85,37.55,2970000,1.21,Saudi Aramco,37.2,0
2022-06-23,2222,37.2,37.25,37.6,37.1,4610000,0.0,Saudi Aramco,37.2,0
2022-06-22,2222,37.2,37.6,37.6,37.0,4330000,-0.8,Saudi Aramco,37.5,1
2022-06-21,2222,37.5,37.1,37.8,37.05,5540000,1.63,Saudi Aramco,36.9,0
2022-06-20,2222,36.9,36.9,37.4,36.55,7870000,-0.14,Saudi Aramco,36.95,1
2022-06-19,2222,36.95,38.05,38.1,36.95,8420000,-4.03,Saudi Aramco,38.5,1
2022-06-16,2222,38.5,38.45,38.95,38.45,8450000,0.13,Saudi Aramco,38.45,0
2022-06-15,2222,38.45,39.0,39.2,38.4,5760000,-1.54,Saudi Aramco,39.05,1
2022-06-14,2222,39.05,39.4,39.6,38.6,5920000,-0.89,Saudi Aramco,39.4,1
2022-06-13,2222,39.4,39.0,39.6,38.3,9710000,0.51,Saudi Aramco,39.2,0
2022-06-12,2222,39.2,40.1,40.1,39.15,7310000,-2.97,Saudi Aramco,40.4,1
2022-06-09,2222,40.4,40.65,40.8,40.15,5250000,-0.49,Saudi Aramco,40.6,1
2022-06-08,2222,40.6,40.55,40.85,40.4,2580000,0.25,Saudi Aramco,40.5,0
2022-06-07,2222,40.5,41.0,41.05,40.5,3400000,-1.22,Saudi Aramco,41.0,1
2022-06-06,2222,41.0,40.7,41.05,40.7,4940000,0.86,Saudi Aramco,40.65,0
2022-06-05,2222,40.65,40.3,40.75,40.3,4210000,1.12,Saudi Aramco,40.2,0
2022-06-02,2222,40.2,41.0,41.0,40.2,6190000,-2.07,Saudi Aramco,41.05,1
2022-06-01,2222,41.05,41.85,41.85,41.05,5390000,-2.03,Saudi Aramco,41.9,1
2022-05-31,2222,41.9,41.8,42.0,41.25,32689999,1.09,Saudi Aramco,41.45,0
2022-05-30,2222,41.45,41.35,41.75,41.2,10650000,0.24,Saudi Aramco,41.35,0
2022-05-29,2222,41.35,41.1,41.5,41.1,7460000,1.6,Saudi Aramco,40.7,0
2022-05-26,2222,40.7,41.1,41.45,40.45,7290000,-0.73,Saudi Aramco,41.0,1
2022-05-25,2222,41.0,40.2,41.25,40.2,7910000,2.12,Saudi Aramco,40.15,0
2022-05-24,2222,40.15,39.45,40.2,39.1,11410000,1.65,Saudi Aramco,39.5,0
2022-05-23,2222,39.5,39.35,39.5,38.95,6550000,0.77,Saudi Aramco,39.2,0
2022-05-22,2222,39.2,40.0,40.1,38.8,8020000,-1.38,Saudi Aramco,39.75,1
2022-05-19,2222,39.75,40.05,40.25,39.5,12120000,-2.33,Saudi Aramco,40.7,1
2022-05-18,2222,40.7,41.25,41.6,40.5,13630000,-1.21,Saudi Aramco,41.2,1
2022-05-17,2222,41.2,42.5,42.5,40.55,17040000,-3.06,Saudi Aramco,42.5,1
2022-05-16,2222,42.5,42.3,43.35,42.2,16670000,0.35,Saudi Aramco,42.35,0
2022-05-15,2222,42.35,42.0,42.9,40.75,16410000,4.22,Saudi Aramco,40.64,0
2022-05-12,2222,40.64,41.36,41.36,39.91,15450000,-1.76,Saudi Aramco,41.36,1
2022-05-11,2222,41.36,41.64,41.95,41.36,8109999,-0.98,Saudi Aramco,41.77,1
2022-05-10,2222,41.77,41.77,42.0,41.14,10520000,0.0,Saudi Aramco,41.77,0
2022-05-09,2222,41.77,41.68,42.05,41.55,14030000,0.22,Saudi Aramco,41.68,0
2022-05-08,2222,41.68,40.73,41.91,40.64,15330000,2.12,Saudi Aramco,40.82,0
2022-04-28,2222,40.82,40.68,40.82,40.41,14470000,1.24,Saudi Aramco,40.32,0
2022-04-27,2222,40.32,39.41,40.64,39.32,14260000,2.31,Saudi Aramco,39.41,0
2022-04-26,2222,39.41,39.09,39.45,39.0,7860000,1.05,Saudi Aramco,39.0,0
2022-04-25,2222,39.0,39.05,39.09,38.86,4990000,-0.23,Saudi Aramco,39.09,1
2022-04-24,2222,39.09,39.0,39.09,38.86,3250000,0.0,Saudi Aramco,39.09,0
2022-04-21,2222,39.09,39.45,39.59,39.0,8160000,-0.92,Saudi Aramco,39.45,1
2022-04-20,2222,39.45,39.05,39.45,38.77,16309999,2.12,Saudi Aramco,38.64,0
2022-04-19,2222,38.64,38.95,39.05,38.64,5750000,-0.7,Saudi Aramco,38.91,1
2022-04-18,2222,38.91,38.82,39.0,38.77,2220000,0.12,Saudi Aramco,38.86,0
2022-04-17,2222,38.86,39.0,39.0,38.82,2840000,-0.58,Saudi Aramco,39.09,1
2022-04-14,2222,39.09,38.77,39.09,38.55,5050000,0.82,Saudi Aramco,38.77,0
2022-04-13,2222,38.77,39.09,39.18,38.68,5810000,-0.81,Saudi Aramco,39.09,1
2022-04-12,2222,39.09,38.82,39.68,38.77,11370000,0.7,Saudi Aramco,38.82,0
2022-04-11,2222,38.82,38.86,39.09,38.73,4620000,-0.23,Saudi Aramco,38.91,1
2022-04-10,2222,38.91,39.0,39.09,38.86,3240000,-0.12,Saudi Aramco,38.95,1
2022-04-07,2222,38.95,39.05,39.05,38.77,4230000,-0.35,Saudi Aramco,39.09,1
2022-04-06,2222,39.09,39.09,39.18,38.91,6620000,0.0,Saudi Aramco,39.09,0
2022-04-05,2222,39.09,39.18,39.23,38.91,5120000,0.0,Saudi Aramco,39.09,0
2022-04-04,2222,39.09,38.91,39.18,38.77,6520000,0.23,Saudi Aramco,39.0,0
2022-04-03,2222,39.0,38.95,39.18,38.64,6700000,-0.46,Saudi Aramco,39.18,1
2022-03-31,2222,39.18,37.91,39.18,37.55,12960000,3.36,Saudi Aramco,37.91,0
2022-03-30,2222,37.91,38.09,38.18,37.5,4640000,-0.48,Saudi Aramco,38.09,1
2022-03-29,2222,38.09,38.14,38.18,37.95,4790000,-0.36,Saudi Aramco,38.23,1
2022-03-28,2222,38.23,38.0,38.32,37.77,7340000,0.48,Saudi Aramco,38.05,0
2022-03-27,2222,38.05,38.5,38.64,37.77,11480000,-1.76,Saudi Aramco,38.73,1
2022-03-24,2222,38.73,38.86,39.18,38.64,7180000,0.0,Saudi Aramco,38.73,0
2022-03-23,2222,38.73,38.95,38.95,38.14,10570000,-1.16,Saudi Aramco,39.18,1
2022-03-22,2222,39.18,39.27,39.27,38.68,10180000,0.35,Saudi Aramco,39.05,0
2022-03-21,2222,39.05,39.73,39.73,38.82,17850000,-0.69,Saudi Aramco,39.32,1
2022-03-20,2222,39.32,38.64,39.91,38.59,25210000,3.35,Saudi Aramco,38.05,0
2022-03-17,2222,38.05,37.14,38.05,36.55,25000000,2.07,Saudi Aramco,37.27,0
2022-03-16,2222,37.27,35.45,37.27,35.32,21390000,5.81,Saudi Aramco,35.23,0
2022-03-15,2222,35.23,35.27,35.64,35.0,13400000,-1.4,Saudi Aramco,35.73,1
2022-03-14,2222,35.73,36.18,36.77,35.73,26510000,-1.63,Saudi Aramco,36.32,1
2022-03-13,2222,36.32,37.36,37.86,36.27,22420000,-2.8,Saudi Aramco,37.36,1
2022-03-10,2222,37.36,38.73,38.95,37.0,41320000,-5.08,Saudi Aramco,39.36,1
2022-03-09,2222,39.36,40.82,40.86,39.36,15340000,-2.91,Saudi Aramco,40.55,1
2022-03-08,2222,40.55,40.91,41.09,39.36,26690000,-0.45,Saudi Aramco,40.73,1
2022-03-07,2222,40.73,41.36,41.82,40.64,32810000,0.45,Saudi Aramco,40.55,0
2022-03-06,2222,40.55,40.91,41.05,40.36,26880000,0.68,Saudi Aramco,40.27,0
2022-03-03,2222,40.27,39.55,40.91,39.5,34770000,2.9,Saudi Aramco,39.14,0
2022-03-02,2222,39.14,37.82,39.23,37.82,43510000,3.86,Saudi Aramco,37.68,0
2022-03-01,2222,37.68,37.73,37.95,37.55,13690000,-0.24,Saudi Aramco,37.77,1
2022-02-28,2222,37.77,37.27,37.77,37.05,27070000,1.47,Saudi Aramco,37.23,0
2022-02-27,2222,37.23,37.59,38.14,36.68,27160000,-0.97,Saudi Aramco,37.59,1
2022-02-24,2222,37.59,36.68,38.41,36.14,50010000,1.97,Saudi Aramco,36.86,0
2022-02-23,2222,36.86,35.68,36.91,35.45,31700000,3.31,Saudi Aramco,35.68,0
2022-02-21,2222,35.68,34.27,36.55,34.27,43680000,4.11,Saudi Aramco,34.27,0
2022-02-20,2222,34.27,34.23,34.45,34.18,5750000,-0.13,Saudi Aramco,34.32,1
2022-02-17,2222,34.32,34.32,34.45,34.09,10570000,0.0,Saudi Aramco,34.32,0
2022-02-16,2222,34.32,33.91,34.32,33.82,9150000,1.21,Saudi Aramco,33.91,0
2022-02-15,2222,33.91,33.82,34.09,33.82,6330000,0.0,Saudi Aramco,33.91,0
2022-02-14,2222,33.91,33.68,33.91,33.55,4570000,0.67,Saudi Aramco,33.68,0
2022-02-13,2222,33.68,33.95,34.09,33.55,6720000,-0.67,Saudi Aramco,33.91,1
2022-02-10,2222,33.91,33.64,34.0,33.59,3650000,0.4,Saudi Aramco,33.77,0
2022-02-09,2222,33.77,33.86,33.86,33.59,2660000,-0.27,Saudi Aramco,33.86,1
2022-02-08,2222,33.86,33.68,34.14,33.68,5760000,0.54,Saudi Aramco,33.68,0
2022-02-07,2222,33.68,33.45,33.68,33.27,4400000,0.68,Saudi Aramco,33.45,0
2022-02-06,2222,33.45,33.18,33.5,33.18,3380000,-0.27,Saudi Aramco,33.55,1
2022-02-03,2222,33.55,33.5,33.64,33.36,2130000,0.41,Saudi Aramco,33.41,0
2022-02-02,2222,33.41,33.91,34.09,33.32,5810000,-1.34,Saudi Aramco,33.86,1
2022-02-01,2222,33.86,34.05,34.09,33.73,4260000,-0.27,Saudi Aramco,33.95,1
2022-01-31,2222,33.95,33.77,34.09,33.77,6400000,0.54,Saudi Aramco,33.77,0
2022-01-30,2222,33.77,33.55,33.95,33.55,4560000,0.68,Saudi Aramco,33.55,0
2022-01-27,2222,33.55,33.55,33.64,33.55,6750000,0.0,Saudi Aramco,33.55,0
2022-01-26,2222,33.55,33.18,33.55,33.18,3280000,0.82,Saudi Aramco,33.27,0
2022-01-25,2222,33.27,32.95,33.27,32.82,2480000,0.83,Saudi Aramco,33.0,0
2022-01-24,2222,33.0,33.18,33.23,32.91,2940000,-0.55,Saudi Aramco,33.18,1
2022-01-23,2222,33.18,33.41,33.41,33.09,2029999,-0.95,Saudi Aramco,33.5,1
2022-01-20,2222,33.5,33.36,33.5,33.23,2590000,0.41,Saudi Aramco,33.36,0
2022-01-19,2222,33.36,33.41,33.5,33.32,2160000,-0.27,Saudi Aramco,33.45,1
2022-01-18,2222,33.45,33.55,33.64,33.41,3130000,-0.27,Saudi Aramco,33.55,1
2022-01-17,2222,33.55,33.45,33.64,33.27,5040000,0.41,Saudi Aramco,33.41,0
2022-01-16,2222,33.41,33.36,33.73,33.36,4130000,0.14,Saudi Aramco,33.36,0
2022-01-13,2222,33.36,33.05,33.41,33.05,8029999,0.96,Saudi Aramco,33.05,0
2022-01-12,2222,33.05,32.73,33.05,32.64,9080000,0.97,Saudi Aramco,32.73,0
2022-01-11,2222,32.73,32.36,32.73,32.32,5330000,0.98,Saudi Aramco,32.41,0
2022-01-10,2222,32.41,32.45,32.5,32.36,2740000,-0.14,Saudi Aramco,32.45,1
